channel_id	contact_id	sampling_frequency	units	channel_name	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nsx	hi_pass_freq	lo_pass_freq	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_ids	coordinates_x	coordinates_y	channel_type
87	87.0	30000	uV	chan87	../../../sourcedata/l101210-001.ns5	3	23	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	15.0	1.6	0.4	extracellular neuronal recordings
88	88.0	30000	uV	chan88	../../../sourcedata/l101210-001.ns5	3	24	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	5.0	1.6	0.0	extracellular neuronal recordings
89	89.0	30000	uV	chan89	../../../sourcedata/l101210-001.ns5	3	25	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	16.0	2.0	0.4	extracellular neuronal recordings
90	90.0	30000	uV	chan90	../../../sourcedata/l101210-001.ns5	3	26	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	6.0	2.0	0.0	extracellular neuronal recordings
91	91.0	30000	uV	chan91	../../../sourcedata/l101210-001.ns5	3	27	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	17.0	2.4	0.4	extracellular neuronal recordings
92	92.0	30000	uV	chan92	../../../sourcedata/l101210-001.ns5	3	28	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	7.0	2.4	0.0	extracellular neuronal recordings
93	93.0	30000	uV	chan93	../../../sourcedata/l101210-001.ns5	3	29	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	8.0	2.8	0.0	extracellular neuronal recordings
94	94.0	30000	uV	chan94	../../../sourcedata/l101210-001.ns5	3	30	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	18.0	2.8	0.4	extracellular neuronal recordings
95	95.0	30000	uV	chan95	../../../sourcedata/l101210-001.ns5	3	31	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	20.0	3.6	0.4	extracellular neuronal recordings
96	96.0	30000	uV	chan96	../../../sourcedata/l101210-001.ns5	3	32	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	9.0	3.2	0.0	extracellular neuronal recordings
