channel_id	contact_id	stream_id	sampling_frequency	units	channel_name	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nev_hi_freq_order	nev_hi_freq_type	nev_lo_freq_order	nev_lo_freq_type	nsx_hi_freq_order	nsx_lo_freq_order	nsx_hi_freq_type	nsx_lo_freq_type	nsx	hi_pass_freq	lo_pass_freq	hi_pass_order	lo_pass_order	filter_type	electrode_reject_LFC	electrode_reject_IFC	Unnamed: 27	connector_aligned_id	coordinates_x	coordinates_y	channel_type
70	71.0	1	1000	uV	chan71	../../../sourcedata/i140703-001.ns2	3	7	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	51.0	0.0	2.0	extracellular neuronal recordings
71	72.0	1	1000	uV	chan72	../../../sourcedata/i140703-001.ns2	3	8	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	52.0	0.4	2.0	extracellular neuronal recordings
72	73.0	1	1000	uV	chan73	../../../sourcedata/i140703-001.ns2	3	9	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	True	False	False	41.0	0.0	1.6	extracellular neuronal recordings
73	74.0	1	1000	uV	chan74	../../../sourcedata/i140703-001.ns2	3	10	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	42.0	0.4	1.6	extracellular neuronal recordings
74	75.0	1	1000	uV	chan75	../../../sourcedata/i140703-001.ns2	3	11	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	31.0	0.0	1.2	extracellular neuronal recordings
75	76.0	1	1000	uV	chan76	../../../sourcedata/i140703-001.ns2	3	12	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	32.0	0.4	1.2	extracellular neuronal recordings
76	77.0	1	1000	uV	chan77	../../../sourcedata/i140703-001.ns2	3	13	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	21.0	0.0	0.8	extracellular neuronal recordings
77	78.0	1	1000	uV	chan78	../../../sourcedata/i140703-001.ns2	3	14	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	22.0	0.4	0.8	extracellular neuronal recordings
78	79.0	1	1000	uV	chan79	../../../sourcedata/i140703-001.ns2	3	15	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	11.0	0.0	0.4	extracellular neuronal recordings
79	80.0	1	1000	uV	chan80	../../../sourcedata/i140703-001.ns2	3	16	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	12.0	0.4	0.4	extracellular neuronal recordings
80	81.0	1	1000	uV	chan81	../../../sourcedata/i140703-001.ns2	3	17	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	2.0	0.4	0.0	extracellular neuronal recordings
81	82.0	1	1000	uV	chan82	../../../sourcedata/i140703-001.ns2	3	18	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	23.0	0.8	0.8	extracellular neuronal recordings
82	83.0	1	1000	uV	chan83	../../../sourcedata/i140703-001.ns2	3	19	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	3.0	0.8	0.0	extracellular neuronal recordings
83	84.0	1	1000	uV	chan84	../../../sourcedata/i140703-001.ns2	3	20	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	13.0	0.8	0.4	extracellular neuronal recordings
84	85.0	1	1000	uV	chan85	../../../sourcedata/i140703-001.ns2	3	21	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	4.0	1.2	0.0	extracellular neuronal recordings
85	86.0	1	1000	uV	chan86	../../../sourcedata/i140703-001.ns2	3	22	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	14.0	1.2	0.4	extracellular neuronal recordings
